tag,table,run,query_id,query_label,engine_ms,bytes_scanned,rows_returned,status,execution_id
baseline,transactions_baseline,1,Q01,Total spend by merchant category (full scan test),1038,18926568,0,SUCCEEDED,0f3109ab-182a-4c3d-918d-7eb9d5b3a5c9
baseline,transactions_baseline,1,Q02,Fraud rate by region and category,872,4678248,0,SUCCEEDED,f35b7e32-98ac-41ad-95ef-a98309b191f4
baseline,transactions_baseline,1,Q03,High-value transactions in travel category,1240,81284832,0,SUCCEEDED,689300dd-52bc-42de-b3cb-9b20d82406ab
baseline,transactions_baseline,1,Q04,Monthly transaction volume (retail only),,,,ERROR,
baseline,transactions_baseline,1,Q05,Average transaction size by card type and channel (dining),1057,21484924,0,SUCCEEDED,24e9f475-36ed-4169-a37c-b8058c450aae
baseline,transactions_baseline,1,Q06,Fraud detection — suspicious high-amount online transactions,1231,60344205,0,SUCCEEDED,09d3e95f-6f88-4337-ab42-58bc4b42c7fa
baseline,transactions_baseline,1,Q07,Region comparison for utilities spend,1074,20835443,0,SUCCEEDED,e175f9c9-8ad3-460c-a2b2-9a059635f520
baseline,transactions_baseline,1,Q08,Customer segmentation by account age (healthcare),1044,27771307,0,SUCCEEDED,b591fb1b-6d67-4458-9b7b-463e16ccb822
baseline,transactions_baseline,1,Q09,Currency distribution for entertainment,1424,20204337,0,SUCCEEDED,8ee8038b-37e4-4338-9849-67775dbe50dc
baseline,transactions_baseline,1,Q10,Top merchants by transaction volume (groceries),1985,31282317,0,SUCCEEDED,2e89dc02-9c7e-45ea-bf79-e6d1a8b334fc
baseline,transactions_baseline,1,Q11,Multi-category fraud pattern,2159,4678248,0,SUCCEEDED,a8f97d5a-8a44-4d91-9d64-a66db1d7586e
baseline,transactions_baseline,1,Q12,ATM transaction analysis,1114,22118157,0,SUCCEEDED,bc67d19d-e753-4119-a7ca-1cd3c32bd3ee
baseline,transactions_baseline,1,Q13,High-value customer analysis (travel + healthcare),2850,58404312,0,SUCCEEDED,5e3e0c2e-ede7-4e55-ae25-c8974f6c491c
baseline,transactions_baseline,1,Q14,Daily transaction trend for online category,,,,ERROR,
baseline,transactions_baseline,1,Q15,Prepaid card usage patterns,1234,20210760,0,SUCCEEDED,a5761c3f-b7c5-419e-bd2c-c68effa83a01
baseline,transactions_baseline,1,Q16,Cross-region spend comparison (entertainment),932,60313187,0,SUCCEEDED,9cafe883-ff55-4442-8271-39e3748cf2f1
baseline,transactions_baseline,1,Q17,Fraud risk score by channel (financial category),928,4047677,0,SUCCEEDED,55e35c76-1388-49c2-8ba8-f6f4c607fe6c
baseline,transactions_baseline,1,Q18,EUR transactions analysis,962,20208207,0,SUCCEEDED,33355246-ccfd-47fa-9a0f-fafc227861f0
baseline,transactions_baseline,1,Q19,New customer transaction patterns,2254,30365475,0,SUCCEEDED,6515abdf-aae4-460d-b61e-2ebde8d8990c
baseline,transactions_baseline,1,Q20,Large transaction fraud check (multi-category),1688,26699028,0,SUCCEEDED,a171f440-c9d5-4649-a868-9afce7f17afe
baseline,transactions_baseline,1,Q21,Monthly fraud trend (dining),,,,ERROR,
baseline,transactions_baseline,1,Q22,AP region high-value retail,2053,67737549,0,SUCCEEDED,fb1a1e21-424d-46e8-ae1d-6beff8c43bc4
baseline,transactions_baseline,1,Q23,Channel efficiency for groceries,,,,ERROR,
baseline,transactions_baseline,1,Q24,Debit card category spend distribution,1053,20198850,0,SUCCEEDED,b2611938-910c-4cbc-98ab-257453a8243d
baseline,transactions_baseline,1,Q25,"Combined fraud and spend summary (all categories, for baseline comparison)",982,19133470,0,SUCCEEDED,5788cf68-f810-4ea1-919d-8f631056a1c7
